Ponto;Lat (In);Lon (In);h (m) (In);X (Out);Y (Out);Z (Out)
EDA13C;-3,724065;-38,583265;0,000000;4975349,049588;-3969390,200204;-411501,689583
DD56F0;-3,718873;-38,516062;0,000000;4980030,484555;-3963575,079077;-410928,835518
DD34F0;-3,711826;-38,555781;0,000000;4977321,111494;-3967057,898607;-410151,225348
DD31EC;-3,723983;-38,480341;0,000000;4982471,903820;-3960446,680849;-411492,688835
A5BBFC;-3,718418;-38,465755;0,000000;4983511,272552;-3959202,944395;-410878,646148
DC40AC;-3,733280;-38,496933;0,000000;4981272,512592;-3961847,714606;-412518,559153
DD2BA4;-3,725992;-38,495150;0,000000;4981436,845932;-3961725,306978;-411714,378273
E4C790;-3,725448;-38,532829;0,000000;4978833,490687;-3965002,813370;-411654,324001
DD3538;-3,751894;-38,526330;0,000000;4979134,007917;-3964319,291562;-414572,498857
E4D1F0;-3,731475;-38,545118;0,000000;4977949,019386;-3966043,629779;-412319,432124
